ParameterNames,Estimate,Variance
C_x_H_mu_b,,
C_x_H_mu_b_mu,,
C_x_H_mu_b_mu_w,,
C_x_H_mu_b_mu_0,,
C_x_u,,
C_y_H_mu_b,,
C_y_H_mu_b_mu,,
C_y_H_mu_b_mu_w,,
C_y_H_mu_b_mu_0,,
C_y_v,,
C_z_T_0,,
C_z_T_mu,,
C_z_T_mu_w,,
C_z_T_mu_0,,
C_z_T_mu2,,
C_z_w,,
C_l_T_0,,
C_l_T_mu,,
C_l_T_mu_w,,
C_l_T_mu_0,,
C_l_H_mu_b,,
C_l_H_mu_b_mu,,
C_l_H_mu_b_mu_w,,
C_l_H_mu_b_mu_0,,
C_l_R_mu_b,,
C_l_p,,
C_l_p_dt,,
C_m_T_0,,
C_m_T_mu,,
C_m_T_mu_w,,
C_m_T_mu_0,,
C_m_H_mu_b,,
C_m_H_mu_b_mu,,
C_m_H_mu_b_mu_w,,
C_m_H_mu_b_mu_0,,
C_m_R_mu_b,,
C_m_q,,
C_m_q_dt,,
C_n_Q_0,,
C_n_Q_mu,,
C_n_Q_mu_w,,
C_n_Q_mu_0,,
C_n_H_mu_b,,
C_n_r,,
C_n_r_dt,,
