ParameterNames,Estimate,Variance
C_x_0,,
C_x_alpha,,
C_x_q,,
C_x_de,,
C_x_alpha2,,
C_x_alphadot,,
C_y_beta,,
C_y_p,,
C_y_r,,
C_y_da,,
C_y_dr,,
C_y_beta3,,
C_y_betadot,,
C_z_0,,
C_z_alpha,,
C_z_q,,
C_z_de,,
C_z_alpha2,,
C_z_alphadot,,
C_l_beta,,
C_l_p,,
C_l_r,,
C_l_da,,
C_l_dr,,
C_l_beta3,,
C_l_betadot,,
C_m_0,,
C_m_alpha,,
C_m_q,,
C_m_de,,
C_m_alpha2,,
C_m_alphadot,,
C_n_beta,,
C_n_p,,
C_n_r,,
C_n_da,,
C_n_dr,,
C_n_beta3,,
C_n_betadot,,
C_T_0,,
C_T_J,,
C_T_J2,,
